Post ID,Product Brand,Sentiment Score,battery,camera,screen,performance,design,software,display,speaker,battery life,camera quality
347,Google Pixel,-0.4,2.0,,3.0,2.0,3.0,2.0,,,,
1801,Google Pixel,0.04,,,,,,,,,,
4093,Google Pixel,0.1,,,3.0,3.0,4.0,2.0,,,3.0,4.0
1806,Google Pixel,0.34,3.0,4.0,2.0,3.0,4.0,3.0,,,,
1810,Google Pixel,-0.35,,1.0,3.0,,3.0,3.0,,,2.0,
3065,Google Pixel,0.0,3.0,3.0,,,3.0,,,,3.0,
1101,Google Pixel,-0.34,,2.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0
3047,Google Pixel,0.083,,,,,,,,,,
147,Google Pixel,-0.25,,,,,,,,,,
4087,Google Pixel,0.94,,,,5.0,,,5.0,,4.0,
1861,Google Pixel,0.75,,,,,,4.0,,,,
1905,Google Pixel,0.25,,2.0,2.0,,,1.0,,,,
1838,Google Pixel,0.15,,,,3.0,,3.0,3.0,,,
228,Google Pixel,-0.36,,,,,,,,,,
1459,Google Pixel,0.125,,,,3.0,,,,,2.0,
1092,Google Pixel,0.1,,3.0,,,,,,,,
2846,Google Pixel,-0.12,,,,3.0,2.0,,,,,
2179,Google Pixel,0.289,,,,,5.0,4.0,,,3.0,5.0
681,Google Pixel,-0.25,,4.0,,,,,,,,
4270,Google Pixel,0.16,3.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0
612,Google Pixel,-0.1,,3.0,,,,,,,,
1062,Google Pixel,0.55,,4.0,5.0,,,4.0,4.0,4.0,,
2171,Google Pixel,-0.3,,,,,,,,,,
151,Google Pixel,-0.434,,,,,,,2.0,,,
3328,Google Pixel,0.8,,,,,,,,,,
569,Google Pixel,-0.223,3.0,4.0,,2.0,,3.0,,,4.0,
3383,Google Pixel,-0.5,,,,,,,,,,
348,Google Pixel,0.4,,,,,,,,,,5.0
3922,Google Pixel,-0.31,,,,,,,,,,
2838,Google Pixel,0.2,,,,4.0,3.0,4.0,,,2.0,3.0
3934,Google Pixel,0.512,,,,4.0,5.0,3.0,,,4.0,
3618,Google Pixel,-0.44,,,,2.0,,,,,,
2173,Google Pixel,-0.216,3.0,2.0,2.0,1.0,1.0,3.0,,,,
2183,Google Pixel,-0.14,,,,,,,,,,
1993,Google Pixel,0.4,,5.0,,,,,,,,
2961,Google Pixel,-0.6,,,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0
1443,Google Pixel,-0.1,,,3.0,,,,,,,
3145,Google Pixel,-0.576,,4.0,,,,2.0,,,,
1360,Google Pixel,-0.25,,,,,,,,,,
1361,Google Pixel,0.0,,,,,,,,,,
232,Google Pixel,-0.8,,2.0,,,,,,,,
4085,Google Pixel,-0.15,,,,,,3.0,,,,
1069,Google Pixel,0.481,,,4.0,,,,,,,
3536,Google Pixel,0.25,,4.0,,,,,,,5.0,
4145,Google Pixel,0.167,,,,,,3.0,,,,
280,Google Pixel,-0.3,,,,,,,,,,
3430,Google Pixel,0.1806,,,,,4.0,,,,,
4074,Google Pixel,0.6,4.0,,5.0,,,,,,,
287,Google Pixel,-0.4,,,,,,,,,,
4606,Google Pixel,-0.04,,,,,,3.0,,,,
186,Google Pixel,0.5,,,,,,,,,,
2469,Google Pixel,-0.9,,,,,,,,,,
325,Google Pixel,0.4,2.0,4.0,,,3.0,3.0,,,,
266,Google Pixel,-0.2,,,,,3.0,2.0,,,,
317,Google Pixel,0.5,,,,,,,,,,3.0
344,Google Pixel,-0.0533,4.0,,3.0,4.0,,3.0,,,3.0,3.0
3867,Google Pixel,0.6,,,,,,4.0,,,,5.0
13,Google Pixel,0.4127,3.0,5.0,4.0,3.0,4.0,5.0,,,,
21,Google Pixel,0.527,,5.0,,4.0,4.0,5.0,,,,
3197,Google Pixel,0.138,,,,,,,,,,
332,Google Pixel,-0.15,1.0,3.0,2.0,1.0,3.0,2.0,,,,
4278,Google Pixel,0.1,,,,,,,,,,
4503,Google Pixel,0.07,,,,,4.0,,,,,
320,Google Pixel,0.22,,4.0,,,3.0,2.0,,,,
1517,Google Pixel,-0.08,3.0,,,,,,,,,
149,Google Pixel,0.4375,,,,4.0,,,,,4.0,
4220,Google Pixel,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
268,Google Pixel,0.2,,,,,,,,,,
2162,Google Pixel,-0.388,,3.0,3.0,,,,,,,
4295,Google Pixel,0.07,,,,,,,,,,
4339,Google Pixel,0.59,5.0,4.0,,5.0,,2.0,,,,
2176,Google Pixel,-0.1,,,,,,,,,,
4232,Google Pixel,-0.6,,3.0,,,,3.0,,,,
160,Google Pixel,0.25,,,,,,,,,,
1503,Google Pixel,-0.12,,,,,,,,,,
1895,Google Pixel,0.45,,,,,,,,,,
2953,Google Pixel,-0.625,,4.0,,2.0,3.0,3.0,,,,
4086,Google Pixel,-0.678,,,,,,,,,,
282,Google Pixel,-0.5,,,2.0,,,,,,,
1118,Google Pixel,-0.2,,,,3.0,3.0,,,,,2.0
1902,Google Pixel,0.3,,,,,,,,,,
3917,Google Pixel,0.2,3.0,,,,,,,,,
328,Google Pixel,0.2,,,,,,,,,3.0,
1983,Google Pixel,0.3942,,5.0,,,4.0,,,,,
3390,Google Pixel,0.1,,,,,,,,,,
1080,Google Pixel,0.422,,5.0,3.0,4.0,3.0,4.0,,,,
3148,Google Pixel,-0.125,,,,,,,,,,
179,Google Pixel,-0.6,2.0,,,2.0,,,,,,
215,Google Pixel,0.85,,,,,5.0,5.0,,,,
528,Google Pixel,0.12,3.0,,,,,,,,,
4089,Google Pixel,-0.47,,2.0,,,,,,,,
4210,Google Pixel,0.034,,,,,,,,,,
2709,Google Pixel,0.5,,,,,,,,,,
3361,Google Pixel,0.077,,,,,,,,,,
4100,Google Pixel,0.18,,,,,,4.0,,,,
1039,Google Pixel,0.183,4.0,,,,3.0,3.0,,,,4.0
3033,Google Pixel,0.05,,,,,,,,,,
138,Google Pixel,-0.5,,3.0,,2.0,,2.0,,,4.0,
3503,Google Pixel,-0.6,1.0,,,,1.0,2.0,,,,
1927,Google Pixel,-1.0,,,,,,,,,,
1904,Google Pixel,0.3,,,,,,,,,,
4110,Google Pixel,-0.49,,,,2.0,,,4.0,,2.0,2.0
1060,Google Pixel,0.25,,,,,,,,,,
1510,Google Pixel,-0.5,2.0,,,,,1.0,,,1.0,
561,Google Pixel,-0.21052631578947367,,2.0,,,,,,,,
182,Google Pixel,-0.2,,2.0,,,,4.0,,,,
4146,Google Pixel,-0.1,,,,,,,,,,
258,Google Pixel,-0.3,,,,,,,,,,
1800,Google Pixel,0.063,,,,,,,,,,
4083,Google Pixel,0.649,,5.0,,5.0,,,5.0,,,
4121,Google Pixel,0.3,,4.0,,,,,,,,
383,Google Pixel,0.0,,,2.0,,,1.0,,,,2.0
695,Google Pixel,0.5,,,,,,,,,,
3317,Google Pixel,0.093,,,,,,,,,,
2879,Google Pixel,0.333,,4.0,,,3.0,4.0,,,,
4291,Google Pixel,-0.4,,,,,,,,,,
216,Google Pixel,0.0,4.0,,,2.0,,3.0,,,,
3686,Google Pixel,0.4,,3.0,,,,,,,,
1055,Google Pixel,0.375,,5.0,,,,,,,,
1823,Google Pixel,0.0,,,,,,,,,,
1829,Google Pixel,-0.05,,,,,,,,,,
4177,Google Pixel,0.1,,,,3.0,,,,,,
3369,Google Pixel,0.125,,,,,,,,,,
3416,Google Pixel,-0.3,,,,,,,,,,
1061,Google Pixel,-0.7,,,,,,,,,,2.0
4350,Google Pixel,0.55,,,,3.0,4.0,4.0,,,,
2724,Google Pixel,-0.7,,,,,,,,,,
4027,Google Pixel,0.36363636363636365,,,,,,,,,,
2980,Google Pixel,-0.4,,,,2.0,,,,,,
889,Google Pixel,-0.6,,,,,,,,,,
3857,Google Pixel,-0.7,,,,,,1.0,,,,
356,Google Pixel,0.5,,,,4.0,,,,,4.0,
1818,Google Pixel,-0.167,4.0,3.0,3.0,,,,,,,
3654,Google Pixel,0.25,,,,,,2.0,,,,
1556,Google Pixel,0.4,,,,,,,,,,
1939,Google Pixel,-0.1,,,,,,3.0,,,,
342,Google Pixel,-0.4,2.0,,,,,,,,,3.0
1514,Google Pixel,-0.7,1.0,,,,,,,,,
405,Google Pixel,-0.1,,,3.0,,,,,,,
2573,Google Pixel,-0.7,,,,,,,2.0,,1.0,
202,Google Pixel,-0.2,,,,,,3.0,,,,
3406,Google Pixel,-0.095,2.0,,,3.0,,2.0,,,,
3969,Google Pixel,-0.6,,,,,,,2.0,,,
4228,Google Pixel,0.125,,,,,,,,,,
214,Google Pixel,-0.6,3.0,,,,,,,,,
573,Google Pixel,0.2,,,,,,,,,,
4055,Google Pixel,0.45,,,,2.0,,,,,,
2450,Google Pixel,-0.25,,,,4.0,,,,,2.0,5.0
2492,Google Pixel,-0.33,,,,4.0,,,,,1.0,
334,Google Pixel,0.1,3.0,4.0,,,,,,,,
688,Google Pixel,0.0357,,,,,,,,,,
1825,Google Pixel,0.0,,,,,,,,,,
2187,Google Pixel,-0.56,,,,,,,,,,
3032,Google Pixel,-0.2,,2.0,2.0,,,,,,4.0,
1462,Google Pixel,0.5,,4.0,,,,5.0,,,5.0,
1985,Google Pixel,0.125,,,,,,,,,,
1849,Google Pixel,0.2,,,,,,,,,,
4576,Google Pixel,0.339,,3.0,,,,,,,,
2701,Google Pixel,-0.61,,,,,1.0,,1.0,,,
279,Google Pixel,-0.4,,,,,,,,,,
3041,Google Pixel,0.05,,,,,,,,,,
358,Google Pixel,0.5,,4.0,,,,,,,,
606,Google Pixel,-0.25,,,,,,,,,,
668,Google Pixel,0.2,,,,,,,,,,
3673,Google Pixel,0.08,,4.0,3.0,4.0,,3.0,,,,
225,Google Pixel,-0.5,,,,,,,,,,
1076,Google Pixel,0.333,,4.0,4.0,,,3.0,,2.0,5.0,
3664,Google Pixel,-0.27,3.0,1.0,,2.0,,,,,,1.0
142,Google Pixel,-0.2,,,,,,,,,,
2512,Google Pixel,-0.05,,,,4.0,,,,,,3.0
3978,Google Pixel,0.15,,3.0,,,,,,,,
2192,Google Pixel,-0.24,,2.0,,2.0,,1.0,,,,
3722,Google Pixel,-0.6,,,,,,,,,,
239,Google Pixel,-0.1,,,,,,,,,3.0,
4392,Google Pixel,0.6,5.0,,4.0,,,,,,,
1084,Google Pixel,-0.16,,,,,,,,,,2.0
1597,Google Pixel,1.0,,,,,,,,,,
3290,Google Pixel,0.3,,3.0,3.0,,,,,,4.0,
1223,Google Pixel,-0.3125,,,,,,,,,,
345,Google Pixel,0.1,3.0,,2.0,,,,,,,
2955,Google Pixel,0.071,,3.0,,3.0,4.0,2.0,,,2.0,
254,Google Pixel,0.5,,,,4.0,,,,,,
1900,Google Pixel,0.2778,,,,,,,,,,
825,Google Pixel,-0.4,,4.0,,,2.0,,,,,
1414,Google Pixel,-0.8,,,,,,,,,,
1830,Google Pixel,0.0,,,,,,,,,,
1119,Google Pixel,0.15,,3.0,,,,,,,,
3126,Google Pixel,0.25,,,,3.0,4.0,,,,2.0,
231,Google Pixel,-0.7,,,,,,,,,,2.0
3,Google Pixel,0.27,,,,4.0,,,,,,
2157,Google Pixel,0.375,,,,,,,,,,
146,Google Pixel,-0.63,,,,,,,,,,
3105,Google Pixel,0.3,,,,,,,,,,
4191,Google Pixel,0.75,,,,,,,,,,
562,Google Pixel,0.15,2.0,,,3.0,,3.0,2.0,,,
662,Google Pixel,0.3,,,,,,3.0,,,,
2055,Google Pixel,0.6,,,,,4.0,4.0,3.0,,,
3404,Google Pixel,0.3,,,,,,,,,,
859,Google Pixel,0.5,,,,,,,,,,
4154,Google Pixel,0.35,5.0,4.0,,,,,,,,
159,Google Pixel,-0.125,,3.0,,,,,,,,
2979,Google Pixel,0.5,,,,,,,,,4.0,3.0
3521,Google Pixel,-0.7,3.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0
3983,Google Pixel,0.0,,,,,4.0,3.0,,,,5.0
4079,Google Pixel,-0.68,,,1.0,,,,,,1.0,
4216,Google Pixel,0.4,,,,,4.0,,,,,
331,Google Pixel,-0.5,,,,4.0,3.0,,,,,
330,Google Pixel,0.05,,,,,,,,,,
264,Google Pixel,0.2,,,,,,,,,,
323,Google Pixel,0.6,,4.0,4.0,3.0,3.0,3.0,,4.0,3.0,
4046,Google Pixel,0.33,,,4.0,,,,,,4.0,
827,Google Pixel,-0.4,,,,,,2.0,2.0,,,
530,Google Pixel,0.1,,,,,4.0,,,,,
1353,Google Pixel,-0.5,,,,,,,,,,
4250,Google Pixel,0.388,,3.0,,4.0,,,,,4.0,
527,Google Pixel,0.0,,,,,,,,,,
2269,Google Pixel,0.6,,,,,,,,,,
2440,Google Pixel,-0.413,,,,2.0,,,,,,
3943,Google Pixel,-0.25,,,1.0,2.0,,,,,,
2929,Google Pixel,-0.3,3.0,,,,,,,,,
189,Google Pixel,-0.6,,,,,,,2.0,,,
904,Google Pixel,-0.2,,,,,,,,,,
275,Google Pixel,-0.5,,,,,,2.0,,,,3.0
286,Google Pixel,-0.317,,,,,,,,,,
2985,Google Pixel,-0.6,,,,,,2.0,,,,
3010,Google Pixel,-0.2425,,3.0,,,,,,,,
4260,Google Pixel,0.6,,,,,,,,,,
390,Google Pixel,0.0625,3.0,3.0,,,,3.0,,,,
1808,Google Pixel,-0.7,,1.0,,1.0,,,,,1.0,
260,Google Pixel,0.3,,,,,,,,,,
2707,Google Pixel,0.0,,,,,,,,,,
2717,Google Pixel,0.0,,,,,,,,,,
2719,Google Pixel,0.0,,,,,,,,,,
3344,Google Pixel,-0.2,,,,,4.0,2.0,,,,
3668,Google Pixel,0.0,,,,,,,,,,
2412,Google Pixel,-0.125,3.0,,,3.0,4.0,1.0,,,,
2718,Google Pixel,0.0,,,,,,,,,,
3309,Google Pixel,0.0,,,,,,,,,,
4298,Google Pixel,0.2,,2.0,,,,,,,,
553,Google Pixel,0.4,,,,3.0,,,,,,
2172,Google Pixel,0.0,,,,,,,,,,
3205,Google Pixel,0.0,,,,,,,,,,
3676,Google Pixel,-0.309,2.0,,,2.0,3.0,2.0,,,,
322,Google Pixel,-0.2,,,,,,,,,3.0,
329,Google Pixel,0.6,,,,4.0,4.0,4.0,,,4.0,
3165,Google Pixel,0.0,,,,,,,,,,
130,Google Pixel,-0.6,,,,,,,,,,
874,Google Pixel,-0.2,,,,,,,,,,
184,Google Pixel,0.4,,,,4.0,,,,,,
310,Google Pixel,-0.2,,,,,,,,,,
4097,Google Pixel,0.1,,,,,,,,,,
191,Google Pixel,0.0,,,,,,,,,,
1132,Google Pixel,0.0,,,,,,,,,,
1911,Google Pixel,-0.25,,,,,,,,,,
2308,Google Pixel,0.2,,,,,,,,,,
3644,Google Pixel,0.4,,4.0,,4.0,3.0,4.0,,,,
4113,Google Pixel,0.5,5.0,,,,,4.0,,,,
3641,Google Pixel,-0.3333333333333333,,,,2.0,2.0,2.0,,,,
336,Google Pixel,-0.75,,5.0,,,,,,,,
4373,Google Pixel,0.2,5.0,,,4.0,5.0,4.0,5.0,,,
212,Google Pixel,-0.6,,,,,2.0,2.0,,,,
673,Google Pixel,0.0,,,,,,,,,,
3149,Google Pixel,0.186,,,,,,,,,,
1912,Google Pixel,0.733,,4.0,,,,,,,5.0,
1074,Google Pixel,0.3,,,,,,,,,,
3640,Google Pixel,0.587,,,,3.0,4.0,5.0,4.0,,,
4434,Google Pixel,0.0,,,,,,,,,,
314,Google Pixel,-0.2,3.0,4.0,,,,,,,,
3946,Google Pixel,-0.6,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0
897,Google Pixel,-0.1,,,,,,,,,,
1303,Google Pixel,0.357,,,,,,,,,,
4167,Google Pixel,0.3,,,,,,,,,,
1890,Google Pixel,0.65,,,,,4.0,,,,,
2687,Google Pixel,0.3,,,,,,,,,,
2910,Google Pixel,0.0,,,,,,,,,,
1065,Google Pixel,0.35,,,,,,,,,,
1497,Google Pixel,-0.57,2.0,,4.0,2.0,3.0,1.0,,,,
1724,Google Pixel,-0.391,,2.0,,,,,,,,
4133,Google Pixel,-0.6,,4.0,,,,,5.0,,,
2051,Google Pixel,0.03125,,,4.0,4.0,5.0,5.0,,3.0,5.0,4.0
154,Google Pixel,-0.5,,,,2.0,,,,,,
351,Google Pixel,0.0,,5.0,,,,,,,,
1211,Google Pixel,0.1,,,,,,3.0,,,,
3665,Google Pixel,-0.361,,,,,,,,,,
3678,Google Pixel,-0.7,,2.0,,,,,,,,
222,Google Pixel,0.1,,,,,,,,,,
4168,Google Pixel,-0.1,3.0,2.0,3.0,3.0,3.0,,,,,
241,Google Pixel,0.45,,,,,,,,,,
2805,Google Pixel,-0.3,,,,,,,,,,
267,Google Pixel,-0.2,,3.0,,,,,,,,
1133,Google Pixel,0.1667,,3.0,,,,3.0,3.0,,,
4314,Google Pixel,0.4,,,,4.0,,,,,,3.0
163,Google Pixel,-0.625,,,1.0,,,,,,,
2479,Google Pixel,0.3,,,,4.0,,,,,,
4104,Google Pixel,-0.65,,2.0,,,,,,,,
3428,Google Pixel,0.5,,4.0,,,5.0,,,,3.0,
166,Google Pixel,-0.2,,,,,,,,,,
3677,Google Pixel,-0.6,,,,2.0,1.0,,,,1.0,
1803,Google Pixel,-0.5,,,,,,,,,,
3245,Google Pixel,0.09,,,,,,,,,,
1150,Google Pixel,-0.62,,,,,,,,,,
173,Google Pixel,-0.2,,,,,,,,,,
2749,Google Pixel,-0.6375,,,,,,2.0,,,,
3848,Google Pixel,-0.25,,4.0,,3.0,,,,,,
255,Google Pixel,-0.3,,,,5.0,5.0,4.0,5.0,4.0,5.0,3.0
799,Google Pixel,-0.2,,2.0,,,,,,,,
2428,Google Pixel,-0.22,,,,,,,,,,
2445,Google Pixel,0.6,,,5.0,4.0,,,,,,
455,Google Pixel,0.2,,,,,,,,,,
733,Google Pixel,0.0,,,,,,,,,,
2413,Google Pixel,0.6,,,,4.0,4.0,4.0,,,,
1445,Google Pixel,-0.2,,3.0,4.0,2.0,4.0,2.0,,2.0,5.0,5.0
1982,Google Pixel,0.6,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2559,Google Pixel,-0.95,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
3415,Google Pixel,-0.75,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
523,Google Pixel,0.46,3.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,5.0
4095,Google Pixel,0.45,,,,,,,,,,
290,Google Pixel,0.0,,,,,,,,,,
1588,Google Pixel,0.25,,,,,,,,,,
1974,Google Pixel,0.873,,5.0,,,,5.0,,,,
1748,Google Pixel,-0.5,,,,,,,,,,
1128,Google Pixel,0.2875,,,,,,,,,,
2142,Google Pixel,0.125,,4.0,,,,,,,,
2253,Google Pixel,0.4,,,,,,4.0,,,,
3114,Google Pixel,0.125,,,,,,,,,,
997,Google Pixel,0.0,,,,,,,,,,
4573,Google Pixel,-0.2,,,,,,,,,,
219,Google Pixel,-0.6,,,,,,,,,,
1207,Google Pixel,-0.428,,,,,,,,,,
4353,Google Pixel,0.7,2.0,5.0,2.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0
236,Google Pixel,0.32,,4.0,,,,3.0,,,,
4200,Google Pixel,0.25,,,,,,4.0,,,,
4374,Google Pixel,0.3,4.0,,,,,,,,,
2924,Google Pixel,-0.3333,,5.0,,,,3.0,,,,
554,Google Pixel,0.6667,,,5.0,4.0,3.0,,,,,
2453,Google Pixel,0.4,5.0,3.0,,4.0,,,,,,
3312,Google Pixel,-0.175,,,,,,,,,,
176,Google Pixel,-0.71,,,,,,,,,,
1470,Google Pixel,-0.1,,4.0,,,,,,,,
1896,Google Pixel,-0.37,,,,2.0,2.0,2.0,4.0,3.0,4.0,4.0
156,Google Pixel,-0.5,,,,,,,,,2.0,
611,Google Pixel,-0.2857,,,,,,,,,,
722,Google Pixel,-0.4,,,,,,2.0,,,,
1488,Google Pixel,0.35,,,,,,,,,,
185,Google Pixel,-0.1667,,,2.0,,,3.0,,,,
2451,Google Pixel,0.3,,,,3.0,,,,,,
1107,Google Pixel,0.95,,5.0,,,,,,,,
1999,Google Pixel,-0.4,,,,,,2.0,,,,
3487,Google Pixel,0.0,,,,,,,,,,
133,Google Pixel,0.12,,,,,,,,,,
2531,Google Pixel,0.0,,,,,,,,,,
134,Google Pixel,-0.2,,,,,,,,,,
3562,Google Pixel,0.125,,,2.0,,3.0,,,,,
209,Google Pixel,-0.2,,,,,,,,,,
2262,Google Pixel,0.6,,,,,,4.0,,,,
4589,Google Pixel,0.246,,,,,,,,,,
4604,Google Pixel,0.0,,,,,,,,,,
2288,Google Pixel,0.0,,3.0,,,,,,,,
3449,Google Pixel,-0.4,2.0,2.0,2.0,5.0,4.0,1.0,,3.0,4.0,5.0
3829,Google Pixel,-0.55,,,,,,,,,,
180,Google Pixel,-0.4,,2.0,,,,,,,,
3283,Google Pixel,0.0,,,,,,,,,,
1287,Google Pixel,-0.25,,,,,,,,,,
3035,Google Pixel,-0.3333333333333333,,,,,,,,,,
4103,Google Pixel,0.05,,,,,,,,,,
571,Google Pixel,0.0,,,,3.0,3.0,3.0,,,,
2394,Google Pixel,0.3,,,,,,,,,,
4528,Google Pixel,-0.3333,2.0,3.0,3.0,2.0,2.0,1.0,,,,
4084,Google Pixel,-0.5,,2.0,,,,,,,,
3985,Google Pixel,0.15,,,4.0,5.0,4.0,4.0,4.0,3.0,3.0,
245,Google Pixel,-0.4,,,,,,2.0,,,,
395,Google Pixel,-0.25,,2.0,,,,2.0,,,,
3046,Google Pixel,-0.583,,2.0,4.0,1.0,5.0,4.0,4.0,2.0,5.0,5.0
748,Google Pixel,-0.4,,,,,,,,,,
1127,Google Pixel,-0.4,,,,,,,,,,2.0
1577,Google Pixel,0.1,,,,,,,,,,
2323,Google Pixel,0.25,,,,,,,,,,
4554,Google Pixel,0.125,,,,,,,,,,
2397,Google Pixel,-0.8,,,,5.0,4.0,5.0,4.0,3.0,4.0,5.0
2572,Google Pixel,0.1,,,,,,,,,,
204,Google Pixel,0.1,,3.0,,,,,,,,
1512,Google Pixel,-0.8,,,,,,1.0,,,,
1657,Google Pixel,0.4,,,4.0,,3.0,,,,,
213,Google Pixel,-0.125,,,,,,,,,,
1883,Google Pixel,0.2,,,,,,,,,,
1772,Google Pixel,-0.2,,,,,,,,,,
139,Google Pixel,0.125,,,,,,,,,,
2603,Google Pixel,0.15,,,,,,,,,,
3296,Google Pixel,0.4,,,,,3.0,4.0,,,,
2188,Google Pixel,-0.4,,,,,,,,,,
2574,Google Pixel,-0.5,,,,,,,,,,
2890,Google Pixel,0.4,,,,4.0,,,,,,
3645,Google Pixel,0.2,,,,,,,,,,
4159,Google Pixel,0.4,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1126,Google Pixel,0.2,,,,,,,,,,
3869,Google Pixel,-0.286,,,,,,,,,,
177,Google Pixel,-0.4,,,3.0,2.0,2.0,4.0,,3.0,2.0,3.0
2938,Google Pixel,0.4,,,,,,,,,,
881,Google Pixel,-0.5,,2.0,,,,1.0,,,,
3858,Google Pixel,0.35,,,,,,,,,,
3690,Google Pixel,-0.4,,2.0,3.0,,,,,,,
4091,Google Pixel,0.0,,,,,,,,,,
1018,Google Pixel,-0.21,,3.0,,,,,,,,
253,Google Pixel,0.8,5.0,,,5.0,4.0,,,,,
353,Google Pixel,0.4,,,,,,4.0,,,,
2020,Google Pixel,-0.25,,,,,,2.0,,,,
4243,Google Pixel,-0.45,,,,,,2.0,,,,3.0
1446,Google Pixel,-0.375,2.0,,,4.0,3.0,3.0,,,,
4482,Google Pixel,0.125,,,,,,,,,,
3088,Google Pixel,0.25,3.0,,,,,,,,,
1219,Google Pixel,-0.8,,,,,,1.0,,,,
248,Google Pixel,0.0,,,,,,,,,,
292,Google Pixel,-0.2,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0
2152,Google Pixel,-0.5,,,4.0,5.0,4.0,2.0,4.0,3.0,4.0,3.0
4169,Google Pixel,0.6,,,,4.0,4.0,3.0,,,,
2983,Google Pixel,0.4,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,2.0,2.0
3421,Google Pixel,-0.6,,2.0,,,,2.0,,,,
